,AUT,BEL,BGR,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GRC,HRV,HUN,IRL,ITA,LTU,LUX,LVA,MLT,NLD,POL,PRT,ROU,SVK,SVN,SWE
AUT,949.3130193905955,919.6065162907253,1072.7614035087677,866.2280701754397,869.6140350877175,916.430372807021,965.5375939849636,983.6619090098127,989.8796992481236,919.8947368421044,859.5569620253175,742.2756892230535,929.4780701754448,819.7794486215531,986.1214574898765,816.0505540166184,997.5789473684285,1091.8859649122878,972.7434210526397,933.9210526315809,894.0998185118023,894.842105263159,1006.1553884711788,965.8931419457778,901.3195488721797,1082.1578947368455,926.2205513784448
BEL,919.6065162907253,921.3696145124737,1052.5365079365126,848.5714285714278,865.2607709750545,904.0466269841245,956.4353741496576,973.3841807909623,979.1632653061199,910.1564625850331,850.4659433393609,729.8775510204097,912.5277777777766,804.4852607709645,980.5238095238117,805.5256892230597,985.038961038958,1077.5714285714278,959.5297619047637,916.0158730158706,885.8538587848941,886.6401098901115,994.9750566893399,952.6089466089469,890.3265306122438,1064.2202380952376,919.1882086167767
BGR,1072.7614035087677,1052.5365079365126,1274.6000000000024,999.0444444444374,1009.2888888888918,1049.7236111111122,1105.523809523812,1133.8666666666686,1142.3238095238112,1053.1761904761895,980.8464135021097,853.9047619047661,1076.9444444444475,961.4571428571471,1128.4153846153818,940.3438596491217,1156.9636363636348,1249.8666666666581,1130.1500000000003,1083.3777777777848,1027.5816091954011,1049.1051282051285,1152.3396825396856,1129.0424242424249,1046.247619047616,1256.1750000000015,1062.0349206349254
CYP,866.2280701754397,848.5714285714278,999.0444444444374,927.7777777777857,792.1031746031753,848.8593749999998,896.1785714285704,916.4096045197746,904.9999999999961,849.4404761904749,802.8565400843888,726.8174603174597,868.6388888888919,776.5238095238066,927.6025641025591,756.5328947368408,923.0303030303022,1006.916666666671,902.7291666666671,895.5555555555595,823.1264367816024,821.4711538461518,942.4920634920667,908.6060606060609,840.0595238095226,997.249999999999,846.849206349207
CZE,869.6140350877175,865.2607709750545,1009.2888888888918,792.1031746031753,861.14058956916,858.6274801587297,909.9829931972762,920.5512510088787,933.5714285714275,861.0170068027171,801.1790235081368,681.4648526077086,869.9682539682537,781.2358276643909,926.1575091575147,769.6654135338356,941.6580086580065,1014.2777777777786,914.4880952380952,866.0079365079357,844.8407224958956,869.2142857142866,936.0748299319721,910.0966810966816,853.0850340136024,1017.0535714285743,882.9365079365059
DEU,916.430372807021,904.0466269841245,1049.7236111111122,848.8593749999998,858.6274801587297,911.3241102430618,950.7723214285737,970.1680790960438,972.9270833333328,907.6041666666669,841.4607067510565,724.7881944444441,908.8437499999993,796.150297619047,979.2828525641031,795.3548519736837,984.5719696969695,1073.5381944444434,954.3684895833329,911.5989583333337,881.2252155172399,877.8774038461552,990.9335317460309,952.3566919191912,882.1629464285705,1062.2044270833346,915.1468253968263
DNK,965.5375939849636,956.4353741496576,1105.523809523812,896.1785714285704,909.9829931972762,950.7723214285737,1035.9030612244762,1024.8849878934664,1029.9795918367229,960.6326530612205,888.2613019891495,765.4013605442198,959.0892857142859,844.5952380952268,1032.7307692307668,842.141917293235,1034.0779220779225,1135.9285714285695,1005.589285714288,965.3452380952298,936.1970443349741,927.1140109890075,1047.047619047614,1002.2489177489211,935.9642857142837,1122.0000000000036,979.7312925170033
ESP,983.6619090098127,973.3841807909623,1133.8666666666686,916.4096045197746,920.5512510088787,970.1680790960438,1024.8849878934664,1057.1255386383184,1053.428571428574,976.7651331719165,906.6033040120136,785.0742534301841,983.5918079096036,859.2574656981465,1053.2829204693617,857.111953612847,1059.7904468412896,1161.612994350283,1030.0466101694974,987.9943502824899,948.3781414377542,943.2288135593204,1072.6795803066987,1031.1956856702614,953.3510895883802,1148.8855932203446,982.9459241323643
EST,989.8796992481236,979.1632653061199,1142.3238095238112,904.9999999999961,933.5714285714275,972.9270833333328,1029.9795918367229,1053.428571428574,1088.0408163265172,984.6734693877464,909.2350813743212,777.1632653061249,993.559523809522,862.9455782312784,1054.395604395599,867.6842105263165,1069.7792207792231,1166.1904761904664,1036.0000000000034,987.047619047603,955.6847290640362,957.4423076923033,1074.0748299319707,1037.5757575757618,960.9387755101966,1161.0357142857163,993.9659863945515
FIN,919.8947368421044,910.1564625850331,1053.1761904761895,849.4404761904749,861.0170068027171,907.6041666666669,960.6326530612205,976.7651331719165,984.6734693877464,930.1632653061158,848.2902350813735,729.0612244897962,914.3809523809526,798.1190476190375,982.0329670329639,803.0300751879699,987.3636363636361,1082.9999999999993,959.8750000000019,916.8809523809525,887.147783251232,882.0947802197794,996.8061224489766,957.6428571428545,888.9489795918347,1068.839285714288,923.986394557819
