member_id,0,1,2,3,4,5,6,7,8,9
0,19.0,18.0,9.0,0.0,2.0,18.0,17.0,6.0,18.0,15.0
1,21.0,21.0,6.0,3.0,1.0,18.0,14.0,6.0,20.0,13.0
2,7.0,5.0,2.0,2.0,8.0,11.0,9.0,14.0,1.0,10.0
3,4.0,2.0,4.0,0.0,0.0,5.0,6.0,2.0,1.0,5.0
4,4.0,9.0,4.0,5.0,10.0,19.0,10.0,17.0,5.0,10.0
5,96.0,81.0,27.0,3.0,9.0,83.0,86.0,31.0,96.0,57.0
6,14.0,14.0,4.0,0.0,1.0,12.0,14.0,6.0,14.0,7.0
7,34.0,28.0,45.0,3.0,4.0,42.0,59.0,17.0,25.0,30.0
8,1.0,1.0,0.0,1.0,4.0,6.0,4.0,7.0,4.0,5.0
9,14.0,14.0,3.0,0.0,0.0,9.0,13.0,8.0,14.0,10.0
10,79.0,74.0,27.0,2.0,8.0,61.0,71.0,27.0,77.0,56.0
11,13.0,7.0,17.0,2.0,1.0,18.0,21.0,8.0,7.0,8.0
12,6.0,3.0,1.0,5.0,7.0,8.0,4.0,10.0,4.0,6.0
13,9.0,8.0,3.0,6.0,11.0,18.0,9.0,18.0,10.0,10.0
14,6.0,2.0,10.0,1.0,1.0,8.0,13.0,4.0,3.0,6.0
15,54.0,42.0,44.0,10.0,1.0,51.0,76.0,20.0,20.0,34.0
16,7.0,6.0,3.0,6.0,9.0,10.0,5.0,10.0,3.0,4.0
17,6.0,6.0,4.0,0.0,1.0,6.0,6.0,4.0,6.0,4.0
18,3.0,5.0,0.0,2.0,4.0,7.0,3.0,6.0,3.0,4.0
19,5.0,2.0,0.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0
20,29.0,26.0,8.0,1.0,3.0,27.0,24.0,10.0,29.0,20.0
21,52.0,47.0,19.0,2.0,5.0,46.0,49.0,14.0,51.0,32.0
22,12.0,7.0,14.0,1.0,2.0,15.0,21.0,7.0,5.0,4.0
23,10.0,16.0,4.0,14.0,19.0,19.0,17.0,30.0,13.0,22.0
24,7.0,6.0,2.0,2.0,5.0,11.0,5.0,14.0,5.0,9.0
25,4.0,3.0,0.0,3.0,4.0,4.0,3.0,7.0,3.0,6.0
26,21.0,20.0,9.0,1.0,3.0,18.0,21.0,8.0,20.0,14.0
